state,type_id,c,cr
draft,ExampleForm,1,2021-03
draft,HealthInsurance,14,2021-03
submitted,ChildrenResidenceChange,1,2021-03
approved,InstitutionCollaboration,7,2021-04
draft,ChildrenResidenceChange,3,2021-04
draft,DrivingLicense,1,2021-04
draft,HealthInsurance,6,2021-04
draft,InstitutionCollaboration,8,2021-04
inReview,HealthInsurance,1,2021-04
prerequisites,ExampleForm,1,2021-04
approved,InstitutionCollaboration,21,2021-05
draft,ChildrenResidenceChange,4,2021-05
draft,DrivingLicense,2,2021-05
draft,HealthInsurance,2,2021-05
draft,InstitutionCollaboration,14,2021-05
draft,LoginService,2,2021-05
finished,DocumentProviderOnboarding,1,2021-05
inReview,ChildrenResidenceChange,3,2021-05
inReview,DocumentProviderOnboarding,1,2021-05
prerequisites,ExampleForm,1,2021-05
rejected,ChildrenResidenceChange,1,2021-05
rejected,DocumentProviderOnboarding,1,2021-05
submitted,ChildrenResidenceChange,4,2021-05
submitted,FundingGovernmentProjects,1,2021-05
submitted,LoginService,5,2021-05
approved,InstitutionCollaboration,8,2021-06
draft,ChildrenResidenceChange,2,2021-06
draft,DocumentProviderOnboarding,44,2021-06
draft,DrivingLicense,3,2021-06
draft,FundingGovernmentProjects,1,2021-06
draft,HealthInsurance,35,2021-06
draft,InstitutionCollaboration,20,2021-06
draft,LoginService,1,2021-06
draft,PartyApplication,1,2021-06
inReview,DocumentProviderOnboarding,2,2021-06
inReview,HealthInsurance,30,2021-06
rejected,DocumentProviderOnboarding,1,2021-06
reviewerWaitingToAssign,DocumentProviderOnboarding,2,2021-06
testPhase,DocumentProviderOnboarding,4,2021-06
vinnumalastofnunApproval,ParentalLeave,1,2021-06
approved,DrivingAssessmentApproval,1,2021-07
approved,InstitutionCollaboration,2,2021-07
approved,PartyApplication,6,2021-07
collectEndorsements,PartyApplication,9,2021-07
collectSignatures,PartyLetter,9,2021-07
draft,ChildrenResidenceChange,26,2021-07
draft,DocumentProviderOnboarding,32,2021-07
draft,DrivingLicense,4,2021-07
draft,HealthInsurance,74,2021-07
draft,InstitutionCollaboration,5,2021-07
draft,PartyApplication,30,2021-07
draft,PartyLetter,9,2021-07
inReview,ChildrenResidenceChange,6,2021-07
inReview,HealthInsurance,80,2021-07
inReview,PartyApplication,44,2021-07
inReview,PartyLetter,1,2021-07
prerequisites,DrivingAssessmentApproval,26,2021-07
reviewerWaitingToAssign,DocumentProviderOnboarding,2,2021-07
submitted,ChildrenResidenceChange,14,2021-07
testPhase,DocumentProviderOnboarding,1,2021-07
vinnumalastofnunApproval,ParentalLeave,6,2021-07
vinnumalastofnunApproveEdits,ParentalLeave,1,2021-07
approved,DrivingAssessmentApproval,1,2021-08
approved,InstitutionCollaboration,3,2021-08
approved,PartyApplication,4,2021-08
approved,PartyLetter,1,2021-08
collectEndorsements,PartyApplication,6,2021-08
draft,ChildrenResidenceChange,35,2021-08
draft,DocumentProviderOnboarding,67,2021-08
draft,DrivingLicense,24,2021-08
draft,HealthInsurance,44,2021-08
draft,InstitutionCollaboration,25,2021-08
draft,PartyApplication,23,2021-08
draft,PartyLetter,8,2021-08
inReview,ChildrenResidenceChange,11,2021-08
inReview,DocumentProviderOnboarding,1,2021-08
inReview,HealthInsurance,112,2021-08
inReview,PartyApplication,20,2021-08
inReview,PartyLetter,1,2021-08
payment,DrivingLicense,1,2021-08
prerequisites,DrivingAssessmentApproval,10,2021-08
prerequisites,HealthInsurance,38,2021-08
rejected,DocumentProviderOnboarding,1,2021-08
rejectedbyparentb,ChildrenResidenceChange,3,2021-08
reviewerWaitingToAssign,DocumentProviderOnboarding,3,2021-08
submitted,ChildrenResidenceChange,50,2021-08
vinnumalastofnunApproval,ParentalLeave,14,2021-08
approved,DrivingAssessmentApproval,7,2021-09
approved,InstitutionCollaboration,11,2021-09
collectEndorsements,PartyApplication,1,2021-09
done,DrivingLicense,5,2021-09
draft,ChildrenResidenceChange,66,2021-09
draft,DataProtectionAuthorityComplaint,1,2021-09
draft,DocumentProviderOnboarding,93,2021-09
draft,DrivingLicense,11,2021-09
draft,HealthInsurance,31,2021-09
draft,InstitutionCollaboration,54,2021-09
draft,PartyApplication,11,2021-09
inReview,ChildrenResidenceChange,8,2021-09
inReview,HealthInsurance,87,2021-09
inReview,PartyApplication,4,2021-09
payment,DrivingLicense,4,2021-09
prerequisites,DrivingAssessmentApproval,5,2021-09
prerequisites,HealthInsurance,173,2021-09
rejected,DocumentProviderOnboarding,2,2021-09
rejectedbyparentb,ChildrenResidenceChange,1,2021-09
reviewerWaitingToAssign,DocumentProviderOnboarding,3,2021-09
submitted,ChildrenResidenceChange,24,2021-09
testPhase,DocumentProviderOnboarding,1,2021-09
vinnumalastofnunApproval,ParentalLeave,2,2021-09
approved,DrivingAssessmentApproval,16,2021-10
approved,GeneralPetitionService,5,2021-10
approved,InstitutionCollaboration,4,2021-10
closed,ParentalLeave,1,2021-10
done,DrivingLicense,4,2021-10
draft,ChildrenResidenceChange,44,2021-10
draft,DocumentProviderOnboarding,44,2021-10
draft,DrivingLicense,11,2021-10
draft,GeneralPetitionService,1,2021-10
draft,HealthInsurance,27,2021-10
draft,InstitutionCollaboration,25,2021-10
employerApproval,ParentalLeave,1,2021-10
inReview,ChildrenResidenceChange,4,2021-10
inReview,HealthInsurance,102,2021-10
otherParentApproval,ParentalLeave,1,2021-10
payment,DrivingLicense,3,2021-10
prerequisites,DrivingAssessmentApproval,77,2021-10
prerequisites,DrivingLicense,3,2021-10
prerequisites,HealthInsurance,128,2021-10
rejectedbyparentb,ChildrenResidenceChange,2,2021-10
reviewerWaitingToAssign,DocumentProviderOnboarding,3,2021-10
submitted,ChildrenResidenceChange,9,2021-10
testPhase,DocumentProviderOnboarding,1,2021-10
vinnumalastofnunApproval,ParentalLeave,13,2021-10
approved,DrivingAssessmentApproval,116,2021-11
approved,GeneralPetitionService,1,2021-11
approved,InstitutionCollaboration,6,2021-11
done,DrivingLicense,17,2021-11
draft,AccidentNotification,39,2021-11
draft,ChildrenResidenceChange,69,2021-11
draft,DocumentProviderOnboarding,64,2021-11
draft,DrivingLicense,115,2021-11
draft,GeneralPetitionService,1,2021-11
draft,HealthInsurance,25,2021-11
draft,InstitutionCollaboration,26,2021-11
draft,ParentalLeave,1,2021-11
