Ártal,Grófflokkun,Fínflokkun,Lýsing,Nánar,Virkur,Listi sakarefna í Réttarvörslugátt/Frá dómstólum,Spurningar / athugasemdir
1940-019-086-001,Hegningarlagabrot,Landráð,Landráð,,TRUE,Hegningarlagabrot önnur,
1940-019-087-001,Hegningarlagabrot,Landráð,"Landráð, erlent samband",,TRUE,Hegningarlagabrot önnur,
1940-019-093-001,Hegningarlagabrot,Landráð,Njósnir fyrir hönd erlendra stjórnvalda eða stjórnmálaflokka,,TRUE,Hegningarlagabrot önnur,
1940-019-095-001,Hegningarlagabrot,Landráð,Erlend þjóð eða ríki smánað opinberlega,,TRUE,Hegningarlagabrot önnur,
1940-019-095-002,Hegningarlagabrot,Landráð,Starfsmaður erlends ríkis smánaður með orðum eða æði,,TRUE,Hegningarlagabrot önnur,
1940-019-095-003,Hegningarlagabrot,Landráð,"Sendierindreka erlends ríkis hér á landi ógnað, hann beittur valdi eða hótað slíku eða valdið skemdum á sendiráðssvæði",,TRUE,Hegningarlagabrot önnur,
1940-019-098-001,Hegningarlagabrot,Brot gegn stjórnskipun ríkisins og æðstu stjórnvöldum,Uppreisn,,TRUE,Hegningarlagabrot önnur,
1940-019-099-001,Hegningarlagabrot,Brot gegn stjórnskipun ríkisins og æðstu stjórnvöldum,"Stjórnvöld, tilræði við forseta",,TRUE,Hegningarlagabrot önnur,
1940-019-100-001,Hegningarlagabrot,Brot gegn stjórnskipun ríkisins og æðstu stjórnvöldum,"Stjórnvöld, brot gegn æðstu stjórnvöldum",,TRUE,Hegningarlagabrot önnur,
1940-019-100a-001,Hegningarlagabrot,Brot gegn stjórnskipun ríkisins og æðstu stjórnvöldum,Hryðjuverk,,TRUE,Hegningarlagabrot önnur,
1940-019-100a-002,Hegningarlagabrot,Brot gegn stjórnskipun ríkisins og æðstu stjórnvöldum,"Hryðjuverk, hótun",,TRUE,Hegningarlagabrot önnur,
1940-019-100b-001,Hegningarlagabrot,Brot gegn stjórnskipun ríkisins og æðstu stjórnvöldum,"Hryðjuverk, fjármögnun",,TRUE,Hegningarlagabrot önnur,
1940-019-100c-001,Hegningarlagabrot,Brot gegn stjórnskipun ríkisins og æðstu stjórnvöldum,"Hryðjuverk, stuðningur",,TRUE,Hegningarlagabrot önnur,
1940-019-102-001,Hegningarlagabrot,Brot gegn stjórnskipun ríkisins og æðstu stjórnvöldum,"Kosningar, tálmun kosninga og kosningasvik",,TRUE,Hegningarlagabrot önnur,
1940-019-103-001,Hegningarlagabrot,Brot gegn stjórnskipun ríkisins og æðstu stjórnvöldum,"Kosningar, önnur brot gegn stjórnskipun og stjórnvöldum",,TRUE,Hegningarlagabrot önnur,
1940-019-106-001,Hegningarlagabrot,Brot gegn valdstjórninni,"Opinber starfsmaður, ofbeldi gagnvart opinberum starfsmanni",Hótun um ofbeldi gagnvart lögreglumanni,TRUE,Hegningarlagabrot önnur,
1940-019-106-001,Hegningarlagabrot,Brot gegn valdstjórninni,"Opinber starfsmaður, ofbeldi gagnvart opinberum starfsmanni",Hótun um ofbeldi gagnvart opinberum starfsmönnum,TRUE,Hegningarlagabrot önnur,
1940-019-106-001,Hegningarlagabrot,Brot gegn valdstjórninni,"Opinber starfsmaður, ofbeldi gagnvart opinberum starfsmanni",Ofbeldi gagnvart lögreglumanni,TRUE,Hegningarlagabrot önnur,
1940-019-106-001,Hegningarlagabrot,Brot gegn valdstjórninni,"Opinber starfsmaður, ofbeldi gagnvart opinberum starfsmanni",Ofbeldi gagnvart opinberum starfsmönnum,TRUE,Hegningarlagabrot önnur,
1940-019-106-002,Hegningarlagabrot,Brot gegn valdstjórninni,"Opinber starfsmaður, önnur tálmun á starfi opinbers starfsmanns","Opinber starfsmaður, önnur tálmun á starfi lögreglumanns",TRUE,Hegningarlagabrot önnur,
1940-019-106-002,Hegningarlagabrot,Brot gegn valdstjórninni,"Opinber starfsmaður, önnur tálmun á starfi opinbers starfsmanns","Opinber starfsmaður, önnur tálmun á starfi opinbers starfsmanns",TRUE,Hegningarlagabrot önnur,
1940-019-107-001,Hegningarlagabrot,Brot gegn valdstjórninni,"Opinber starfsmaður, upphlaup, ofbeldi mannsafnaðar gagnvart opinberum starfsmanni",,TRUE,Hegningarlagabrot önnur,
1940-019-108-001,Hegningarlagabrot,Brot gegn valdstjórninni,"Ofbeldi, nauðung eða hótun gagnvart manni vegna skýrslugjafar hans hjá lögreglu eða dómi",,TRUE,Hegningarlagabrot önnur,
1940-019-109-001,Hegningarlagabrot,Brot gegn valdstjórninni,"Opinber starfsmaður, mútur",Mútur bornar á erlendan opinberan starfsmann eða starfsmanni opinberrar alþjóðastofnunar,TRUE,Hegningarlagabrot önnur,
1940-019-109-001,Hegningarlagabrot,Brot gegn valdstjórninni,"Opinber starfsmaður, mútur",Mútur bornar á íslenskan opinberan starfsmann,TRUE,Hegningarlagabrot önnur,
1940-019-110-001,Hegningarlagabrot,Brot gegn valdstjórninni,"Fangar, sammælst um strok úr fangelsi",,TRUE,Hegningarlagabrot önnur,
1940-019-111-001,Hegningarlagabrot,Brot gegn valdstjórninni,"Fangar, aðstoð við fanga eða brotamann til að losna úr haldi",,TRUE,Hegningarlagabrot önnur,
1940-019-112-001,Hegningarlagabrot,Brot gegn valdstjórninni,"Fangar, aðstoð við brotamann til að losna undan handtöku eða refsingu",,TRUE,Hegningarlagabrot önnur,
1940-019-112-002,Hegningarlagabrot,Brot gegn valdstjórninni,"Rannsókn brots tálmað með því að eyðileggja, breyta eða koma undan hlutum, sem fræðslu geta veitt við rannsóknina, eða með því að raska ummerkjum brot",,TRUE,Hegningarlagabrot önnur,
1940-019-113-001,Hegningarlagabrot,Brot gegn valdstjórninni,"Innsigli, innsiglisrof og skemmdir á opinberri auglýsingu",,TRUE,Hegningarlagabrot önnur,
1940-019-116-000,Hegningarlagabrot,Brot gegn valdstjórninni,"Aðili tekur sér eitthvert opinbert vald, sem hann ekki hefur",,TRUE,Hegningarlagabrot önnur,
1940-019-117-000,Hegningarlagabrot,Brot gegn valdstjórninni,"Einkennisföt eða merki, sem áskilið er stjórnvöldum notað vísvitandi eða af gáleysi",,TRUE,Hegningarlagabrot önnur,
1940-019-118-001,Hegningarlagabrot,Brot á almannafriði og allsherjarreglu,Upphlaup í því skyni að beita menn eða muni ofbeldi eða ógna með því,,TRUE,Hegningarlagabrot önnur,
1940-019-119-001,Hegningarlagabrot,Brot á almannafriði og allsherjarreglu,"Upphlaup, óhlýðni við skipun yfirvalds um að mannsöfnuður sundrist",,TRUE,Hegningarlagabrot önnur,
1940-019-120-001,Hegningarlagabrot,Brot á almannafriði og allsherjarreglu,Gabb,,TRUE,Hegningarlagabrot önnur,
1940-019-120a-001,Hegningarlagabrot,Brot á almannafriði og allsherjarreglu,"Tilkynningar, rangar upplýsingar eða tilkynningar um háska",,TRUE,Hegningarlagabrot önnur,
1940-019-121-000,Hegningarlagabrot,Brot á almannafriði og allsherjarreglu,Opinberlega hvatt til refsiverðra verka,,TRUE,Hegningarlagabrot önnur,
1940-019-122-001,Hegningarlagabrot,Brot á almannafriði og allsherjarreglu,Hindrað að  löglegur mannfundur sé haldinn,,TRUE,Hegningarlagabrot önnur,
1940-019-122-002,Hegningarlagabrot,Brot á almannafriði og allsherjarreglu,Fundarfriði raskað á lögboðnum samkomum um opinber málefni með háreysti eða uppivöðslu,,TRUE,Hegningarlagabrot önnur,
1940-019-124-001,Hegningarlagabrot,Brot á almannafriði og allsherjarreglu,"Grafhelgi, ósæmileg meðferð á líki",,TRUE,Hegningarlagabrot önnur,
1940-019-124-002,Hegningarlagabrot,Brot á almannafriði og allsherjarreglu,"Kirkjuhelgi, ósæmileg meðferð á kirkjumunum",,TRUE,Hegningarlagabrot önnur,
1940-019-125-001,Hegningarlagabrot,Brot á almannafriði og allsherjarreglu,Guðlast,,TRUE,Hegningarlagabrot önnur,
1940-019-128-001,Hegningarlagabrot,Brot í opinberu starfi,"Opinber starfsmaður, hagnaðarbrot",,TRUE,Brot í opinberu starfi,
1940-019-129-001,Hegningarlagabrot,Brot í opinberu starfi,"Opinber starfsmaður, hagnaðarbrot af sköttum eða gjöldum",,TRUE,Brot í opinberu starfi,
1940-019-130-001,Hegningarlagabrot,Brot í opinberu starfi,"Opinber starfsmaður, röng meðferð dóms- eða úrskurðarvalds",,TRUE,Brot í opinberu starfi,
1940-019-130-002,Hegningarlagabrot,Brot í opinberu starfi,"Opinber starfsmaður, röng meðferð dóms- eða úrskurðarvalds, velferðarmissir",,TRUE,Brot í opinberu starfi,
1940-019-131-001,Hegningarlagabrot,Brot í opinberu starfi,"Opinber starfsmaður, ólögmæt meðferð valds við refsivörslu",,TRUE,Brot í opinberu starfi,
1940-019-132-001,Hegningarlagabrot,Brot í opinberu starfi,"Opinber starfsmaður, ekki gætt lögmætra aðferða við meðferð máls",,TRUE,Brot í opinberu starfi,
1940-019-134-000,Hegningarlagabrot,Brot í opinberu starfi,"Opinber starfsmaður misnotar stöðu sína til þess að neyða mann til að gera eitthvað, þola eitthvað eða láta eitthvað ógert",,TRUE,Brot í opinberu starfi,
1940-019-136-001,Hegningarlagabrot,Brot í opinberu starfi,"Opinber starfsmaður, brot á þagnarskyldu",,TRUE,Brot í opinberu starfi,
1940-019-137-000,Hegningarlagabrot,Brot í opinberu starfi,"Opinber starfsmaður sem hefur póst- eða fjarskiptaþjónustu á hendi rífur heimildarlaust upp, ónýtir eða skýtur undan bréfum eða sendingu, aflagar eða skýtur undan skeytum",,TRUE,Brot í opinberu starfi,
1940-019-138-000,Hegningarlagabrot,Brot í opinberu starfi,Brot í opinberu starfi,,TRUE,Brot í opinberu starfi,
1940-019-139-000,Hegningarlagabrot,Brot í opinberu starfi,"Opinber starfsmaður misnotar stöðu sína sér eða öðrum til ávinnings eða til þess að gera nokkuð það, sem hallar réttindum einstakra manna eða hins opinbera",,TRUE,Brot í opinberu starfi,
1940-019-140-000,Hegningarlagabrot,Brot í opinberu starfi,"Opinber starfsmaður, sem synjar eða af ásettu ráði lætur farast fyrir að gera það, sem honum er boðið á löglegan hátt",,TRUE,Brot í opinberu starfi,
1940-019-141-000,Hegningarlagabrot,Brot í opinberu starfi,"Opinber starfsmaður, sem sekur gerist um stórfellda eða ítrekaða vanrækslu eða hirðuleysi í starfi sínu",,TRUE,Brot í opinberu starfi,
